timestamp,home_1,home_2,home_3,home_4,home_5,home_6,home_7,home_8,home_9,home_10,home_11,home_12,home_13,home_14,home_15,home_16,home_17,home_18,home_19,home_20,home_21,home_22,home_23,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,direct_radiation
2010-11-01 00:00:00,457.4728662682487,174.96773333333334,492.09922388504475,206.48160000000001,224.05986666666666,431.76613333333336,73.69460059635811,285.07913333333335,69.19211333333332,170.48542666666665,141.94873333333334,435.97571399539225,339.80766666666665,553.3410829568252,512.0743333333334,182.64627490433264,509.5126,154.09806666666665,1135.8118,433.7378,214.83193333333335,125.34553333333334,783.3706,18.917999267578125,68.60664367675781,12.287554740905762,0.0,0.0
2010-11-01 00:15:00,500.80133309275885,260.1218,470.79827844373307,203.83953333333335,314.87646666666666,311.0920666666667,75.06172715706725,282.89779999999996,188.30849333333333,142.64726000000002,127.74006666666668,469.2494406301119,341.74233333333336,613.0227153501907,575.922,209.14607686269528,450.00879999999995,188.4474,1179.5753333333334,397.6236,238.04620000000003,126.12013333333334,662.9368666666667,18.83049964904785,68.64535522460938,12.21146297454834,0.0,0.0
2010-11-01 00:30:00,370.63377969987584,122.84933333333333,407.15696734222405,128.00681333333333,333.05333333333334,367.1007333333334,80.92035542152524,236.3475333333333,216.10366666666667,90.57180666666666,168.31106666666668,530.4801611731763,358.9969333333333,641.98359345197,629.4367333333333,224.61369345478766,521.8960666666667,186.90253333333334,1283.6506666666667,217.13626666666667,203.94326666666666,142.71393333333333,528.8427333333333,18.743000030517578,68.68406677246094,12.135371208190918,0.0,0.0
2010-11-01 00:45:00,301.6050536674148,201.99493333333334,350.49833975141104,58.62540666666667,276.38820000000004,354.0042666666667,83.21288445904983,188.62133333333335,103.01887333333333,90.22136,100.09955333333333,562.2945053186586,344.13366666666667,616.0534974503689,535.3624666666667,161.535198006331,422.69593333333336,741.1445333333334,1475.1786666666667,246.04500000000002,211.40953333333334,128.09314666666666,646.8625333333333,18.655498504638672,68.7227783203125,12.059279441833496,0.0,0.0
2010-11-01 01:00:00,566.3034848168638,108.70973333333333,371.74509918892784,57.94708,206.25806666666668,335.72746666666666,74.74057414837755,116.82787333333333,106.09089999999999,92.17259333333332,200.6148,520.9257262665999,171.55546666666666,397.86304602809986,414.89480000000003,115.78329110666392,488.9988,274.90133333333335,1623.5366666666666,205.2908666666667,214.45133333333334,56.279599999999995,470.4107333333333,18.5679988861084,68.76148986816406,11.983187675476074,0.0,0.0
2010-11-01 01:15:00,557.5596308168874,199.92253333333335,371.6968064641569,57.334986666666666,493.92946666666666,435.61359999999996,74.41316796073322,98.26352,299.3154666666667,133.25942666666666,175.75826666666666,566.2720450637876,171.2688,408.33987066938187,470.05820000000006,117.84119675661307,427.79713333333336,197.7492,1507.3453333333334,240.31786666666667,201.4122,56.38004,448.6844,18.530498504638672,68.92373657226562,12.059279441833496,0.0,0.0
2010-11-01 01:30:00,436.7612336218247,110.5866,256.8256309977009,115.88090666666668,518.8992000000001,312.9952,80.79228255881519,128.94569333333334,319.3019333333333,175.245,201.15726666666666,538.674468050254,170.13866666666667,457.4779316248335,272.83213333333333,105.34190356903069,421.95079999999996,163.3905333333333,1634.8546666666666,187.6697333333333,236.9982,117.86010666666668,643.8548,18.493000030517578,69.08598327636719,12.135371208190918,0.0,0.0
2010-11-01 01:45:00,425.09264551519396,195.37173333333334,254.0213364522208,137.34973333333335,359.40093333333334,281.69953333333336,77.52509813319747,185.01186666666666,202.20306666666664,104.91623333333334,203.50793333333334,538.5169740530562,169.64906666666667,482.37341819365344,220.9035333333333,94.74599868820734,439.68306666666666,153.851,1552.172,230.92713333333333,200.2492,130.57139999999998,612.8099333333333,18.45549964904785,69.24822235107422,12.21146297454834,0.0,0.0
2010-11-01 02:00:00,472.4544762282975,116.0958,262.7039237554954,131.364,205.75826666666666,278.844,65.9133322016043,145.8786,168.79164,91.09758000000001,103.48086666666667,426.58847472169646,172.7859333333333,271.5355901434402,305.29246666666666,73.93744620041653,279.26486666666665,186.71546666666666,1672.138,189.36493333333334,188.08306666666667,55.64488000000001,487.9732,18.417999267578125,69.41046905517578,12.287554740905762,0.0,0.0
2010-11-01 02:15:00,466.01380003218543,191.37166666666664,241.21124750704894,96.31334666666666,208.49473333333333,258.6025333333333,62.924064903114896,139.52773333333334,212.73366666666666,90.61958,146.15546666666665,416.41455225954826,167.8662,306.82869191210597,296.26433333333335,75.99535185036568,237.66793333333334,185.30953333333335,1829.97,221.56673333333336,205.66693333333333,55.89,524.1243333333333,18.3804988861084,69.74723815917969,12.335954666137695,0.0,0.0
