feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,30.9950759823211,0.5961516536343572,0.5961516536343572,1,home_12,Germany,day5
lag3,3.1570768530053215,0.060722438223522364,0.6568740918578796,1,home_12,Germany,day5
lag2,2.8473523359616935,0.05476527318505053,0.7116393650429301,1,home_12,Germany,day5
lag4,1.469989807937577,0.028273421730841398,0.7399127867737715,1,home_12,Germany,day5
rolling_mean_lag4_window_size4,1.198833653286897,0.023058071070615947,0.7629708578443875,1,home_12,Germany,day5
hour_cos,1.1144263710330278,0.02143460220339564,0.7844054600477831,1,home_12,Germany,day5
direct_radiation_window_8_std,0.5275286003001838,0.010146355104525275,0.7945518151523084,1,home_12,Germany,day5
direct_radiation_window_2_std,0.4723891908219571,0.009085817290079653,0.8036376324423881,1,home_12,Germany,day5
lag5,0.45834919222112375,0.008815775416729031,0.8124534078591171,1,home_12,Germany,day5
rolling_std_lag4_window_size4,0.37895984722546244,0.007288820318212517,0.8197422281773297,1,home_12,Germany,day5
lag6,0.3732294539005238,0.007178603345084722,0.8269208315224144,1,home_12,Germany,day5
lag37,0.34197489850806734,0.006577460928416761,0.8334982924508311,1,home_12,Germany,day5
direct_radiation_window_4_std,0.3217475016032722,0.006188412160787024,0.8396867046116181,1,home_12,Germany,day5
lag8,0.32014321753314334,0.006157555756310001,0.8458442603679281,1,home_12,Germany,day5
direct_radiation_window_4_mean,0.30968338306387294,0.005956373877641471,0.8518006342455696,1,home_12,Germany,day5
lag82,0.2982327486493773,0.005736135196979496,0.8575367694425491,1,home_12,Germany,day5
direct_radiation_window_2_mean,0.2976236000008271,0.00572441898197975,0.8632611884245288,1,home_12,Germany,day5
hour,0.27361956940845855,0.005262731372641662,0.8685239197971705,1,home_12,Germany,day5
lag93,0.24706227226374722,0.004751934863612003,0.8732758546607825,1,home_12,Germany,day5
direct_radiation,0.24060224523798296,0.004627684295678934,0.8779035389564614,1,home_12,Germany,day5
lag87,0.24015505720858527,0.004619083191317617,0.8825226221477791,1,home_12,Germany,day5
lag90,0.2218951737736802,0.004267877092932886,0.886790499240712,1,home_12,Germany,day5
lag25,0.21464042697027708,0.004128341080631636,0.8909188403213436,1,home_12,Germany,day5
direct_radiation_window_16_mean,0.2095316368307863,0.0040300798699972286,0.8949489201913409,1,home_12,Germany,day5
lag59,0.19760262018070307,0.0038006401032989585,0.8987495602946398,1,home_12,Germany,day5
lag35,0.18370941782342243,0.0035334216727232848,0.9022829819673631,1,home_12,Germany,day5
relative_humidity_2m_window_4_mean,0.18370201682149628,0.003533279323675993,0.9058162612910391,0,home_12,Germany,day5
lag36,0.17963474559388715,0.0034550504311415264,0.9092713117221807,0,home_12,Germany,day5
lag34,0.1792678054613134,0.0034479927950530256,0.9127193045172337,0,home_12,Germany,day5
lag31,0.17543623489665378,0.0033742973109883497,0.9160936018282221,0,home_12,Germany,day5
sin_2880.0_2,0.17084021958812629,0.0032858986850946665,0.9193795005133167,0,home_12,Germany,day5
lag61,0.16845702245569782,0.0032400608587172045,0.9226195613720339,0,home_12,Germany,day5
lag62,0.1603207097773634,0.0030835690256130733,0.925703130397647,0,home_12,Germany,day5
lag9,0.1470001603020023,0.002827364859455062,0.9285304952571021,0,home_12,Germany,day5
temperature_2m_window_8_std,0.14535356001618993,0.0027956945553131475,0.9313261898124152,0,home_12,Germany,day5
relative_humidity_2m_window_8_mean,0.1424263720123463,0.0027393937425651688,0.9340655835549804,0,home_12,Germany,day5
wind_speed_10m_expanding_std,0.13370637588610634,0.0025716754858553545,0.9366372590408357,0,home_12,Germany,day5
sin_96.0_2,0.13041985410874304,0.0025084633358545614,0.9391457223766903,0,home_12,Germany,day5
relative_humidity_2m_window_2_mean,0.12943682806032938,0.0024895560550767465,0.941635278431767,0,home_12,Germany,day5
lag86,0.12825952126382845,0.0024669120262649016,0.9441021904580319,0,home_12,Germany,day5
wind_speed_10m_window_4_mean,0.12374341215013374,0.00238005029643214,0.9464822407544641,0,home_12,Germany,day5
lag89,0.11970156916573842,0.0023023104844616176,0.9487845512389257,0,home_12,Germany,day5
relative_humidity_2m_window_8_std,0.11437813091616818,0.0021999207849715493,0.9509844720238972,0,home_12,Germany,day5
wind_speed_10m_window_4_std,0.11212575112101604,0.0021565990670232393,0.9531410710909205,0,home_12,Germany,day5
relative_humidity_2m_window_16_std,0.10846275723012014,0.0020861459451610546,0.9552272170360816,0,home_12,Germany,day5
relative_humidity_2m_window_2_std,0.10824986572782791,0.0020820512424667105,0.9573092682785483,0,home_12,Germany,day5
relative_humidity_2m_expanding_mean,0.10658921302836007,0.002050110657663344,0.9593593789362117,0,home_12,Germany,day5
lag22,0.10560884212986821,0.0020312544453848424,0.9613906333815966,0,home_12,Germany,day5
wind_speed_10m,0.0985542431280237,0.0018955680265783305,0.9632862014081749,0,home_12,Germany,day5
temperature_2m_window_4_std,0.08344929477526648,0.001605043172124225,0.9648912445802991,0,home_12,Germany,day5
cos_672.0_1,0.08106811517897086,0.0015592441505395804,0.9664504887308386,0,home_12,Germany,day5
lag48,0.07814943426462832,0.0015031069610547479,0.9679535956918933,0,home_12,Germany,day5
lag81,0.07412875788496649,0.0014257742623437926,0.9693793699542371,0,home_12,Germany,day5
direct_radiation_weighted_96_mean,0.07403107426758879,0.0014238954397183562,0.9708032653939555,0,home_12,Germany,day5
cos_4.0_2,0.07229508208068865,0.0013905057937788807,0.9721937711877343,0,home_12,Germany,day5
lag91,0.07024873224775093,0.0013511468053538794,0.9735449179930882,0,home_12,Germany,day5
lag7,0.0700349610971557,0.0013470351837208384,0.974891953176809,0,home_12,Germany,day5
wind_speed_10m_weighted_96_mean,0.06971304950830018,0.0013408436155462758,0.9762327967923553,0,home_12,Germany,day5
lag42,0.06596484601329848,0.0012687515931560792,0.9775015483855114,0,home_12,Germany,day5
weekend,0.06567127328048628,0.0012631050875553903,0.9787646534730667,0,home_12,Germany,day5
precipitation_weighted_96_mean,0.06210245877832676,0.0011944633888484675,0.9799591168619152,0,home_12,Germany,day5
cos_2880.0_1,0.06081424703301082,0.0011696862415803229,0.9811288031034955,0,home_12,Germany,day5
lag60,0.06045748381949352,0.0011628243458451566,0.9822916274493406,0,home_12,Germany,day5
lag19,0.05973558095743101,0.001148939444087619,0.9834405668934283,0,home_12,Germany,day5
wind_speed_10m_window_2_mean,0.0574248830907436,0.001104496050722144,0.9845450629441505,0,home_12,Germany,day5
lag45,0.0565511552568978,0.0010876909848700508,0.9856327539290205,0,home_12,Germany,day5
temperature_2m,0.05554591098562014,0.0010683563642686863,0.9867011102932892,0,home_12,Germany,day5
wind_speed_10m_Exp_weighted_96_SL.win,0.05071849350622415,0.0009755070060426638,0.9876766172993319,0,home_12,Germany,day5
temperature_2m_Exp_weighted_96_SL.win,0.0473156788377878,0.0009100581072318772,0.9885866754065638,0,home_12,Germany,day5
lag26,0.046352078510790304,0.0008915244559928926,0.9894781998625567,0,home_12,Germany,day5
wind_speed_10m_window_16_mean,0.04473231468242602,0.0008603703176604926,0.9903385701802172,0,home_12,Germany,day5
lag54,0.0418623575920833,0.0008051702701999432,0.9911437404504172,0,home_12,Germany,day5
lag92,0.041271890884763705,0.0007938133790542208,0.9919375538294715,0,home_12,Germany,day5
lag77,0.04011255156641482,0.0007715149322896048,0.992709068761761,0,home_12,Germany,day5
lag30,0.039753847695374135,0.0007646157104258507,0.9934736844721869,0,home_12,Germany,day5
lag88,0.039472237237521315,0.0007591992842739857,0.9942328837564609,0,home_12,Germany,day5
lag63,0.034182468642984534,0.0006574571786319514,0.9948903409350929,0,home_12,Germany,day5
lag40,0.03278080782973802,0.0006304979799473606,0.9955208389150403,0,home_12,Germany,day5
lag38,0.03211883304035155,0.0006177657199721924,0.9961386046350125,0,home_12,Germany,day5
rolling_mean_lag96_window_size96,0.026465934948453194,0.0005090392710603114,0.9966476439060727,0,home_12,Germany,day5
cos_96.0_1,0.022709743410348437,0.00043679360861748485,0.9970844375146902,0,home_12,Germany,day5
relative_humidity_2m,0.018651644697274605,0.0003587411379672982,0.9974431786526575,0,home_12,Germany,day5
lag74,0.01671960040361,0.00032158067411749405,0.997764759326775,0,home_12,Germany,day5
precipitation_expanding_std,0.015209248552980625,0.000292530938803537,0.9980572902655785,0,home_12,Germany,day5
direct_radiation_expanding_std,0.014411689489588753,0.0002771908843128389,0.9983344811498914,0,home_12,Germany,day5
lag33,0.01376842363220021,0.0002648184673254622,0.9985992996172169,0,home_12,Germany,day5
precipitation_Exp_weighted_96_SL.win,0.011020072458404685,0.00021195735809763982,0.9988112569753146,0,home_12,Germany,day5
relative_humidity_2m_Exp_weighted_96_SL.win,0.009507998548212982,0.00018287450111441109,0.998994131476429,0,home_12,Germany,day5
wind_speed_10m_window_2_std,0.00949878967735458,0.00018269737996157143,0.9991768288563906,0,home_12,Germany,day5
WorkingHour_flag,0.008734900833906068,0.00016800493018424509,0.9993448337865748,0,home_12,Germany,day5
wind_speed_10m_window_8_std,0.007461766776293644,0.00014351778344594474,0.9994883515700207,0,home_12,Germany,day5
lag85,0.0071959164568170305,0.00013840448391199287,0.9996267560539327,0,home_12,Germany,day5
day_of_week_sin,0.006991097663330947,0.00013446504970954836,0.9997612211036423,0,home_12,Germany,day5
lag39,0.0043744585233525864,8.413725728367329e-05,0.9998453583609259,0,home_12,Germany,day5
precipitation,0.0027538011492993066,5.2965932713678595e-05,0.9998983242936396,0,home_12,Germany,day5
direct_radiation_window_16_std,0.0013725026285328567,2.6398377344971137e-05,0.9999247226709845,0,home_12,Germany,day5
direct_radiation_expanding_mean,0.0011220222324027419,2.1580699129207834e-05,0.9999463033701137,0,home_12,Germany,day5
