feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag7,3.857231812397572,0.13166468279379906,0.13166468279379906,1,home_16,Germany,day2
lag1,2.8814418288982155,0.09835657871826241,0.23002126151206148,1,home_16,Germany,day2
lag2,1.241941765087148,0.042393062305200124,0.2724143238172616,1,home_16,Germany,day2
temperature_2m,1.0441310117590235,0.03564089096656307,0.3080552147838247,1,home_16,Germany,day2
sin_2880.0_2,1.0197450028180584,0.034808486722281165,0.34286370150610584,1,home_16,Germany,day2
temperature_2m_window_2_mean,0.8399123147846467,0.028669987669729308,0.3715336891758352,1,home_16,Germany,day2
cos_2880.0_2,0.8061380865989818,0.02751712124713624,0.3990508104229714,1,home_16,Germany,day2
hour_sin,0.7095414273183167,0.0242198424934323,0.4232706529164037,1,home_16,Germany,day2
lag6,0.7012091779102775,0.023935425318467027,0.44720607823487074,1,home_16,Germany,day2
temperature_2m_window_4_mean,0.6729088455644885,0.022969407598377938,0.4701754858332487,1,home_16,Germany,day2
direct_radiation_window_16_mean,0.5358376277547066,0.01829054998990385,0.48846603582315257,1,home_16,Germany,day2
rolling_mean_lag4_window_size4,0.5186722200751476,0.017704617365919148,0.5061706531890717,1,home_16,Germany,day2
cos_2880.0_1,0.5114483997465455,0.017458035864369833,0.5236286890534415,1,home_16,Germany,day2
temperature_2m_window_8_mean,0.43764690048405586,0.014938858520951991,0.5385675475743935,1,home_16,Germany,day2
direct_radiation_window_4_mean,0.43608567485009786,0.014885566863135642,0.5534531144375292,1,home_16,Germany,day2
lag15,0.4117859852425568,0.01405610908621868,0.5675092235237479,1,home_16,Germany,day2
direct_radiation_window_2_mean,0.40585750211158,0.013853743273414897,0.5813629667971628,1,home_16,Germany,day2
lag94,0.3944162406177171,0.013463201522590226,0.594826168319753,1,home_16,Germany,day2
direct_radiation_Exp_weighted_96_SL.win,0.39438653376108734,0.013462187493865692,0.6082883558136187,1,home_16,Germany,day2
hour,0.38470498217811694,0.013131712562588159,0.6214200683762069,1,home_16,Germany,day2
