feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,81.99161296480459,0.5759749969348787,0.5759749969348787,1,home_1,Ireland,day5
lag3,5.331861790405492,0.03745528313614534,0.6134302800710241,1,home_1,Ireland,day5
lag2,5.1139119025998525,0.03592422792913658,0.6493545080001607,1,home_1,Ireland,day5
lag5,2.7258562842905802,0.0191486056709621,0.6685031136711228,1,home_1,Ireland,day5
lag4,2.3761414359302306,0.016691927464144805,0.6851950411352676,1,home_1,Ireland,day5
lag6,2.0319769140854533,0.01427423921230213,0.6994692803475697,1,home_1,Ireland,day5
cos_2880.0_1,1.9154203509785703,0.013455452221161408,0.7129247325687311,1,home_1,Ireland,day5
lag96,1.773238688764036,0.012456653935617672,0.7253813865043488,1,home_1,Ireland,day5
rolling_mean_lag4_window_size4,1.6963255514818456,0.01191635423411799,0.7372977407384668,1,home_1,Ireland,day5
cos_2880.0_2,1.534414859761523,0.010778963386503273,0.7480767041249701,1,home_1,Ireland,day5
direct_radiation_Exp_weighted_96_SL.win,1.2939799666791258,0.009089955428267142,0.7571666595532373,1,home_1,Ireland,day5
direct_radiation_window_16_std,1.2531094711257311,0.008802848214493968,0.7659695077677312,1,home_1,Ireland,day5
lag91,1.2119422740538313,0.008513656730756682,0.7744831644984879,1,home_1,Ireland,day5
direct_radiation_window_8_mean,1.0543007984271526,0.0074062562887156,0.7818894207872035,1,home_1,Ireland,day5
lag24,1.0164490594158906,0.007140355247467027,0.7890297760346705,1,home_1,Ireland,day5
lag90,0.9092808487519732,0.006387519590542427,0.7954172956252129,1,home_1,Ireland,day5
lag40,0.9005934161477853,0.006326492080695572,0.8017437877059085,1,home_1,Ireland,day5
precipitation_window_2_mean,0.8912527964061383,0.006260876059342579,0.808004663765251,1,home_1,Ireland,day5
direct_radiation_weighted_96_std,0.886176155354201,0.006225213651827993,0.8142298774170791,1,home_1,Ireland,day5
lag87,0.8859348165178517,0.006223518293845631,0.8204533957109247,1,home_1,Ireland,day5
direct_radiation_window_16_mean,0.8715846355722988,0.006122711087751543,0.8265761067986762,1,home_1,Ireland,day5
lag95,0.8662230776964635,0.006085047195440679,0.8326611539941169,1,home_1,Ireland,day5
direct_radiation_window_2_mean,0.8590306333080889,0.006034521684540844,0.8386956756786578,1,home_1,Ireland,day5
lag89,0.8579531824756259,0.0060269528038043255,0.844722628482462,1,home_1,Ireland,day5
lag31,0.8289399115820061,0.0058231402672562676,0.8505457687497183,1,home_1,Ireland,day5
precipitation,0.8263955073177385,0.00580526632643086,0.8563510350761492,1,home_1,Ireland,day5
lag12,0.7394968821874273,0.005194820531632787,0.861545855607782,1,home_1,Ireland,day5
direct_radiation_window_2_std,0.6995951394261283,0.004914518616185644,0.8664603742239676,1,home_1,Ireland,day5
precipitation_window_8_std,0.69507080944461,0.004882736085594911,0.8713431103095625,1,home_1,Ireland,day5
direct_radiation_window_4_mean,0.6802863570648696,0.004778878207865879,0.8761219885174284,1,home_1,Ireland,day5
direct_radiation_window_4_std,0.6079669916116017,0.004270848852312663,0.880392837369741,1,home_1,Ireland,day5
direct_radiation_window_8_std,0.6070167837433929,0.004264173828439014,0.8846570111981801,1,home_1,Ireland,day5
hour_cos,0.6023876184268147,0.00423165485018484,0.8888886660483649,1,home_1,Ireland,day5
lag22,0.5808211295093543,0.004080154496197872,0.8929688205445628,1,home_1,Ireland,day5
temperature_2m_window_4_std,0.5268925865026859,0.0037013170606384365,0.8966701376052013,1,home_1,Ireland,day5
hour,0.5212102340630054,0.003661399649446236,0.9003315372546475,1,home_1,Ireland,day5
sin_2880.0_2,0.5171432297845968,0.0036328297422071132,0.9039643669968547,0,home_1,Ireland,day5
lag11,0.5078740221791349,0.0035677153771020336,0.9075320823739567,0,home_1,Ireland,day5
rolling_std_lag4_window_size4,0.4966895824431276,0.0034891468819874126,0.9110212292559441,0,home_1,Ireland,day5
direct_radiation,0.48547171608195183,0.003410343571388222,0.9144315728273323,0,home_1,Ireland,day5
lag45,0.4582375063187101,0.0032190285902859426,0.9176506014176182,0,home_1,Ireland,day5
hour_sin,0.4494749612006899,0.0031574734297640994,0.9208080748473824,0,home_1,Ireland,day5
precipitation_window_8_mean,0.4349058892722951,0.0030551285574549852,0.9238632034048373,0,home_1,Ireland,day5
precipitation_window_4_mean,0.4319346456610219,0.0030342561539491476,0.9268974595587864,0,home_1,Ireland,day5
lag34,0.4295067244164102,0.0030172004834865644,0.929914660042273,0,home_1,Ireland,day5
lag88,0.4266908285560021,0.002997419367456274,0.9329120794097292,0,home_1,Ireland,day5
precipitation_window_16_mean,0.42369861966849387,0.002976399686997605,0.9358884790967268,0,home_1,Ireland,day5
lag32,0.3740103589355385,0.0026273494026026827,0.9385158284993295,0,home_1,Ireland,day5
lag27,0.3705102833105684,0.0026027620579406213,0.9411185905572701,0,home_1,Ireland,day5
lag29,0.36600958467447525,0.002571145532915783,0.9436897360901859,0,home_1,Ireland,day5
lag83,0.3639004872024543,0.002556329536912581,0.9462460656270985,0,home_1,Ireland,day5
temperature_2m_weighted_96_std,0.3469425038639429,0.0024372030305757253,0.9486832686576742,0,home_1,Ireland,day5
lag56,0.3340902598326011,0.0023469185374564595,0.9510301871951307,0,home_1,Ireland,day5
lag23,0.31847517208389037,0.0022372256092046123,0.9532674128043352,0,home_1,Ireland,day5
