feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,11.749451162557966,0.5909342329855607,0.5909342329855607,1,home_7,Ireland,day3
lag2,0.4531786086744603,0.022792447903941367,0.6137266808895021,1,home_7,Ireland,day3
hour_cos,0.35334299161431204,0.01777125304336076,0.6314979339328629,1,home_7,Ireland,day3
sin_2880.0_2,0.3266168666764145,0.01642707262826345,0.6479250065611264,1,home_7,Ireland,day3
lag92,0.2612986398721091,0.013141916945453176,0.6610669235065796,1,home_7,Ireland,day3
lag94,0.23687542742747497,0.011913560649202893,0.6729804841557825,1,home_7,Ireland,day3
lag42,0.23357307138856526,0.01174746989263061,0.6847279540484131,1,home_7,Ireland,day3
lag51,0.20189960752308594,0.010154464924450629,0.6948824189728637,1,home_7,Ireland,day3
wind_speed_10m_window_8_std,0.19745709379722598,0.009931030365270136,0.7048134493381338,1,home_7,Ireland,day3
lag89,0.19503046545717098,0.009808984004377885,0.7146224333425117,1,home_7,Ireland,day3
lag12,0.18326912063619716,0.0092174515843097,0.7238398849268215,1,home_7,Ireland,day3
lag45,0.1832521457449161,0.009216597838528693,0.7330564827653502,1,home_7,Ireland,day3
lag37,0.17185903212858875,0.008643585468586129,0.7417000682339363,1,home_7,Ireland,day3
lag28,0.16750470942812398,0.008424586443902276,0.7501246546778386,1,home_7,Ireland,day3
lag63,0.1660350292183125,0.008350669429779385,0.758475324107618,1,home_7,Ireland,day3
relative_humidity_2m_window_8_std,0.15920517071696166,0.008007164261831012,0.766482488369449,1,home_7,Ireland,day3
lag50,0.1573033976218312,0.007911515298340294,0.7743940036677893,1,home_7,Ireland,day3
direct_radiation_window_8_std,0.15656088567239407,0.007874170938739778,0.7822681746065291,1,home_7,Ireland,day3
lag57,0.14330535708270986,0.007207489107257715,0.7894756637137869,1,home_7,Ireland,day3
lag68,0.12692927800537177,0.0063838603611154265,0.7958595240749022,1,home_7,Ireland,day3
