feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,71.9951798090868,0.6177957532021904,0.6177957532021904,1,home_7,Ireland,day5
lag2,9.328484752458337,0.08004839045006125,0.6978441436522517,1,home_7,Ireland,day5
direct_radiation_window_16_mean,2.5777022338220945,0.022119446014274617,0.7199635896665263,1,home_7,Ireland,day5
direct_radiation_window_8_std,2.373006885416191,0.020362940685990837,0.7403265303525172,1,home_7,Ireland,day5
direct_radiation_window_16_std,2.2549823172931953,0.019350163481277105,0.7596766938337942,1,home_7,Ireland,day5
lag3,2.1538515440616606,0.018482353130831807,0.778159046964626,1,home_7,Ireland,day5
lag5,1.3178581390548743,0.011308634325103577,0.7894676812897296,1,home_7,Ireland,day5
direct_radiation_Exp_weighted_96_SL.win,1.2298504530007903,0.010553434118123855,0.8000211154078534,1,home_7,Ireland,day5
rolling_mean_lag4_window_size4,1.1979343919035386,0.010279560130210915,0.8103006755380643,1,home_7,Ireland,day5
direct_radiation_window_8_mean,0.9711537934654189,0.008333539702242784,0.8186342152403071,1,home_7,Ireland,day5
lag94,0.9102795555575085,0.007811173541637957,0.8264453887819451,1,home_7,Ireland,day5
lag4,0.8678034538613361,0.00744668309505437,0.8338920718769994,1,home_7,Ireland,day5
hour_sin,0.8400150211813866,0.007208228579858466,0.8411003004568579,1,home_7,Ireland,day5
lag95,0.7922881387748134,0.006798680810930749,0.8478989812677886,1,home_7,Ireland,day5
lag96,0.7622022732905748,0.006540511861608547,0.8544394931293972,1,home_7,Ireland,day5
temperature_2m_window_4_mean,0.6954446773550217,0.005967660187755694,0.8604071533171529,1,home_7,Ireland,day5
sin_2880.0_1,0.5812055449970899,0.004987366076297339,0.8653945193934502,1,home_7,Ireland,day5
hour,0.5768063496019294,0.004949616268048459,0.8703441356614987,1,home_7,Ireland,day5
wind_speed_10m_weighted_96_mean,0.5591207224459822,0.004797854644858756,0.8751419903063574,1,home_7,Ireland,day5
lag10,0.5325056374502992,0.004569468709507942,0.8797114590158653,1,home_7,Ireland,day5
direct_radiation_window_2_mean,0.5212777906319161,0.00447312175822043,0.8841845807740858,1,home_7,Ireland,day5
direct_radiation_window_4_std,0.5010495968500436,0.0042995421901642,0.88848412296425,1,home_7,Ireland,day5
direct_radiation,0.47377463804251646,0.0040654938307498915,0.8925496167949999,1,home_7,Ireland,day5
lag67,0.4619936437747242,0.00396440028189785,0.8965140170768977,1,home_7,Ireland,day5
temperature_2m_window_16_mean,0.4103657121477795,0.003521377332440423,0.9000353944093381,1,home_7,Ireland,day5
lag62,0.3826479842571871,0.00328352954006557,0.9033189239494037,0,home_7,Ireland,day5
lag72,0.3382995682829687,0.002902972631634066,0.9062218965810378,0,home_7,Ireland,day5
lag38,0.33824234098768785,0.0029024815601472595,0.9091243781411851,0,home_7,Ireland,day5
relative_humidity_2m_window_16_mean,0.32683853076160857,0.0028046246543560983,0.9119290027955411,0,home_7,Ireland,day5
direct_radiation_weighted_96_mean,0.32457866068816654,0.002785232548692033,0.9147142353442331,0,home_7,Ireland,day5
lag44,0.3239794308739306,0.002780090515080772,0.9174943258593139,0,home_7,Ireland,day5
lag93,0.2985678054311848,0.002562031551659562,0.9200563574109735,0,home_7,Ireland,day5
rolling_std_lag4_window_size4,0.2873626834729862,0.002465879604011895,0.9225222370149854,0,home_7,Ireland,day5
lag75,0.2865962557030571,0.0024593028328634093,0.9249815398478488,0,home_7,Ireland,day5
temperature_2m_window_8_mean,0.27638440575921097,0.0023716742229429174,0.9273532140707917,0,home_7,Ireland,day5
direct_radiation_window_4_mean,0.27144340947265844,0.002329275182750025,0.9296824892535418,0,home_7,Ireland,day5
sin_96.0_1,0.26530983356698246,0.0022766425321126054,0.9319591317856544,0,home_7,Ireland,day5
lag12,0.2634904336291243,0.002261030131977406,0.9342201619176318,0,home_7,Ireland,day5
lag64,0.2607518454782166,0.002237530112477669,0.9364576920301094,0,home_7,Ireland,day5
sin_2880.0_2,0.2572311076770575,0.0022073184112573604,0.9386650104413667,0,home_7,Ireland,day5
lag26,0.2557563084158801,0.00219466305401265,0.9408596734953794,0,home_7,Ireland,day5
lag68,0.24015469605784573,0.0020607845098731727,0.9429204580052525,0,home_7,Ireland,day5
temperature_2m_window_16_std,0.22633125918650876,0.0019421646159244856,0.9448626226211769,0,home_7,Ireland,day5
lag11,0.21659395797673825,0.0018586081424078029,0.9467212307635847,0,home_7,Ireland,day5
lag32,0.21112685564087313,0.0018116945488259038,0.9485329253124106,0,home_7,Ireland,day5
lag7,0.20876068723019897,0.0017913902895775483,0.9503243156019882,0,home_7,Ireland,day5
lag8,0.1985905258525804,0.0017041194122058292,0.952028435014194,0,home_7,Ireland,day5
lag60,0.19141143046128944,0.0016425150845781455,0.9536709500987721,0,home_7,Ireland,day5
lag71,0.18769271630733328,0.0016106045342082576,0.9552815546329804,0,home_7,Ireland,day5
lag54,0.18245355391337625,0.001565646909463014,0.9568472015424434,0,home_7,Ireland,day5
lag63,0.1824081308642917,0.00156525713105151,0.9584124586734949,0,home_7,Ireland,day5
lag13,0.1784139933200663,0.0015309831530008788,0.9599434418264958,0,home_7,Ireland,day5
lag87,0.17805501286480876,0.0015279027162087382,0.9614713445427046,0,home_7,Ireland,day5
lag33,0.17525950903350349,0.0015039142992116482,0.9629752588419161,0,home_7,Ireland,day5
lag86,0.17460443309116727,0.001498293046007289,0.9644735518879234,0,home_7,Ireland,day5
lag50,0.17215190882382103,0.0014772477610172433,0.9659507996489406,0,home_7,Ireland,day5
wind_speed_10m_window_8_std,0.16640265450238304,0.0014279130012002333,0.9673787126501409,0,home_7,Ireland,day5
sin_4.0_2,0.15793508806248155,0.0013552522119585032,0.9687339648620994,0,home_7,Ireland,day5
lag70,0.15540878553840684,0.0013335738305055222,0.9700675386926049,0,home_7,Ireland,day5
precipitation_weighted_96_std,0.15205719168312726,0.0013048135655024903,0.9713723522581074,0,home_7,Ireland,day5
precipitation_Exp_weighted_96_SL.win,0.15059053130045186,0.0012922280485524735,0.9726645803066598,0,home_7,Ireland,day5
relative_humidity_2m_window_4_std,0.1469919477050098,0.0012613483470404762,0.9739259286537003,0,home_7,Ireland,day5
lag42,0.1459703457232422,0.0012525819078500666,0.9751785105615504,0,home_7,Ireland,day5
temperature_2m_window_2_mean,0.14289368774108197,0.0012261808871084764,0.9764046914486588,0,home_7,Ireland,day5
lag76,0.14103502454386216,0.0012102315661550386,0.9776149230148139,0,home_7,Ireland,day5
WorkingHour_flag,0.1382662736648399,0.0011864727181422874,0.9788013957329562,0,home_7,Ireland,day5
cos_2880.0_2,0.13723847620735796,0.0011776531151345842,0.9799790488480908,0,home_7,Ireland,day5
sin_672.0_1,0.13440621390325305,0.0011533492710707096,0.9811323981191615,0,home_7,Ireland,day5
lag39,0.13140364641853922,0.0011275840261518399,0.9822599821453134,0,home_7,Ireland,day5
cos_96.0_1,0.1237998808897828,0.001062335573901735,0.9833223177192152,0,home_7,Ireland,day5
lag65,0.12352863729123556,0.0010600080133107324,0.9843823257325259,0,home_7,Ireland,day5
wind_speed_10m_window_16_mean,0.12105719220506898,0.0010388003674300643,0.985421126099956,0,home_7,Ireland,day5
cos_672.0_2,0.11895103346802216,0.0010207272696648028,0.9864418533696209,0,home_7,Ireland,day5
lag37,0.11468616749938292,0.0009841301517690111,0.9874259835213899,0,home_7,Ireland,day5
relative_humidity_2m_weighted_96_mean,0.10677266102388785,0.0009162237904478351,0.9883422073118378,0,home_7,Ireland,day5
lag74,0.10003435610075258,0.0008584019171455759,0.9892006092289833,0,home_7,Ireland,day5
cos_4.0_1,0.0911394817901396,0.000782074368705029,0.9899826835976884,0,home_7,Ireland,day5
hour_cos,0.09102738188749981,0.0007811124314757744,0.9907637960291642,0,home_7,Ireland,day5
wind_speed_10m_Exp_weighted_96_SL.win,0.09094915017645917,0.0007804411196049684,0.9915442371487692,0,home_7,Ireland,day5
cos_2880.0_1,0.08951293717283307,0.0007681168737778613,0.992312354022547,0,home_7,Ireland,day5
lag90,0.08876652030692185,0.0007617118176185287,0.9930740658401656,0,home_7,Ireland,day5
lag92,0.08765573315017719,0.0007521800741050308,0.9938262459142706,0,home_7,Ireland,day5
lag57,0.0674533953485934,0.0005788223780527282,0.9944050682923233,0,home_7,Ireland,day5
rolling_std_lag96_window_size96,0.06619722022587667,0.000568043050073403,0.9949731113423967,0,home_7,Ireland,day5
lag69,0.06584985110571324,0.0005650622509726907,0.9955381735933694,0,home_7,Ireland,day5
precipitation_window_16_mean,0.06233346630324377,0.0005348879031434187,0.9960730614965128,0,home_7,Ireland,day5
lag49,0.06140629311264547,0.0005269317641192023,0.996599993260632,0,home_7,Ireland,day5
wind_speed_10m,0.059383957344857664,0.0005095779572087776,0.9971095712178407,0,home_7,Ireland,day5
day_of_week_sin,0.04760319031815925,0.00040848635832870824,0.9975180575761694,0,home_7,Ireland,day5
lag59,0.04401308193450859,0.00037767938321125707,0.9978957369593806,0,home_7,Ireland,day5
lag25,0.04357721010236446,0.00037393913605091717,0.9982696760954315,0,home_7,Ireland,day5
lag55,0.04267127322967781,0.0003661652273795418,0.998635841322811,0,home_7,Ireland,day5
lag40,0.041890866917253786,0.0003594685053647314,0.9989953098281757,0,home_7,Ireland,day5
wind_speed_10m_window_4_std,0.02225827066168904,0.000190999801998978,0.9991863096301747,0,home_7,Ireland,day5
lag80,0.016431886452733125,0.00014100318513709528,0.9993273128153118,0,home_7,Ireland,day5
precipitation,0.014792053669339111,0.00012693166351260613,0.9994542444788245,0,home_7,Ireland,day5
precipitation_expanding_std,0.013507253545992626,0.00011590670236906957,0.9995701511811935,0,home_7,Ireland,day5
relative_humidity_2m_expanding_std,0.012069805207397621,0.00010357185604482365,0.9996737230372383,0,home_7,Ireland,day5
expanding_std_lag1,0.009382530748507634,8.051216298213047e-05,0.9997542352002204,0,home_7,Ireland,day5
wind_speed_10m_window_8_mean,0.007492531389129908,6.429394419477982e-05,0.9998185291444153,0,home_7,Ireland,day5
lag85,0.005694420597353656,4.886422773470383e-05,0.99986739337215,0,home_7,Ireland,day5
lag36,0.004925719879281587,4.2267952256710524e-05,0.9999096613244067,0,home_7,Ireland,day5
lag48,0.003735011399726318,3.205039819376147e-05,0.9999417117226005,0,home_7,Ireland,day5
lag34,0.003082078558622925,2.6447535093348675e-05,0.9999681592576939,0,home_7,Ireland,day5
day_of_week_cos,0.0024582612453286855,2.1094514405725645e-05,0.9999892537720996,0,home_7,Ireland,day5
direct_radiation_expanding_mean,0.0011628293684225355,9.978321429507099e-06,0.999999232093529,0,home_7,Ireland,day5
temperature_2m_expanding_std,8.948841770006766e-05,7.679064704399517e-07,0.9999999999999994,0,home_7,Ireland,day5
temperature_2m_expanding_mean,2.2737367544323207e-14,1.951109663887145e-16,0.9999999999999997,0,home_7,Ireland,day5
Holidays_flag,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
weekend,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
direct_radiation_expanding_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
sin_672.0_2,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_expanding_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_16_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_expanding_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag9,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_window_4_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_expanding_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag78,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_weighted_96_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag23,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag30,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
expanding_mean_lag1,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
cos_4.0_2,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
sin_96.0_2,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag56,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag51,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_8_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_expanding_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag31,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag45,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_Exp_weighted_96_SL.win,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_4_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag53,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_window_2_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_2_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag21,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
direct_radiation_weighted_96_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
cos_96.0_2,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_8_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
direct_radiation_window_2_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_2_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m_window_4_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag27,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
day_of_week,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag73,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_window_2_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m_window_8_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m_Exp_weighted_96_SL.win,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_window_2_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag43,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
cos_672.0_1,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag52,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
wind_speed_10m_window_16_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag83,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag79,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag46,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag35,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m_weighted_96_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag58,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_weighted_96_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_window_16_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag82,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag47,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_window_8_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag15,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
sin_4.0_1,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag77,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_window_8_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag6,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag89,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag29,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
precipitation_window_4_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag14,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag61,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag28,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag24,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag41,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_weighted_96_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag20,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag84,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m_window_2_std,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
rolling_mean_lag96_window_size96,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag22,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag66,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag91,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_window_2_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
relative_humidity_2m_window_4_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
temperature_2m_weighted_96_mean,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag88,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag18,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag81,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag16,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag17,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
lag19,0.0,0.0,0.9999999999999997,0,home_7,Ireland,day5
