feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag3,41.14372095333797,0.3649706205581925,0.3649706205581925,1,home_6,Germany,day4
lag1,27.01535528564416,0.2396431522171714,0.6046137727753639,1,home_6,Germany,day4
lag5,11.263127544586542,0.09991100839022003,0.7045247811655839,1,home_6,Germany,day4
lag2,5.595425502430908,0.049634935066408106,0.7541597162319921,1,home_6,Germany,day4
lag4,4.897298760461581,0.04344211282425397,0.797601829056246,1,home_6,Germany,day4
lag8,3.918612993061197,0.03476055598925871,0.8323623850455047,1,home_6,Germany,day4
hour,1.3588240587296014,0.012053621997543463,0.8444160070430482,1,home_6,Germany,day4
cos_2880.0_2,1.0895078388422008,0.009664618144193228,0.8540806251872415,1,home_6,Germany,day4
lag96,0.720266631698746,0.0063892169557679115,0.8604698421430094,1,home_6,Germany,day4
rolling_mean_lag4_window_size4,0.7144356808827297,0.0063374927633892165,0.8668073349063986,1,home_6,Germany,day4
lag16,0.6197857520526668,0.005497888506397623,0.8723052234127963,1,home_6,Germany,day4
cos_2880.0_1,0.5128093250323218,0.004548940476174655,0.8768541638889709,1,home_6,Germany,day4
lag72,0.4970806492668999,0.0044094172531493215,0.8812635811421202,1,home_6,Germany,day4
lag41,0.4888449917232265,0.0043363618032587255,0.8855999429453789,1,home_6,Germany,day4
lag24,0.45368581600910146,0.00402447785398608,0.889624420799365,1,home_6,Germany,day4
relative_humidity_2m_window_2_mean,0.431534416254749,0.003827981039229156,0.8934524018385942,1,home_6,Germany,day4
temperature_2m_window_16_std,0.3881064952796578,0.0034427481312525802,0.8968951499698468,1,home_6,Germany,day4
lag31,0.32010565645960015,0.002839538023669431,0.8997346879935162,1,home_6,Germany,day4
lag94,0.31000992585936726,0.002749982558660951,0.9024846705521772,1,home_6,Germany,day4
lag75,0.3005859151079676,0.002666385670183455,0.9051510562223606,0,home_6,Germany,day4
lag39,0.3001910481791583,0.002662882952764948,0.9078139391751255,0,home_6,Germany,day4
sin_4.0_1,0.2849407322593606,0.002527603081718052,0.9103415422568436,0,home_6,Germany,day4
relative_humidity_2m_window_8_mean,0.2781694197959723,0.002467537291495552,0.9128090795483391,0,home_6,Germany,day4
cos_4.0_1,0.256867045005265,0.0022785718608884097,0.9150876514092275,0,home_6,Germany,day4
lag47,0.24670749403021547,0.002188450269111096,0.9172761016783386,0,home_6,Germany,day4
cos_96.0_1,0.24509592142951533,0.0021741546089587443,0.9194502562872974,0,home_6,Germany,day4
lag85,0.2414425118937288,0.0021417465740379005,0.9215920028613352,0,home_6,Germany,day4
temperature_2m_weighted_96_mean,0.23698406762130161,0.0021021973758825535,0.9236942002372178,0,home_6,Germany,day4
temperature_2m_window_4_std,0.235946221600625,0.0020929910304807904,0.9257871912676986,0,home_6,Germany,day4
temperature_2m_window_4_mean,0.23592891450798562,0.002092837505709712,0.9278800287734084,0,home_6,Germany,day4
lag55,0.2333544386918902,0.0020700002898614415,0.9299500290632698,0,home_6,Germany,day4
temperature_2m,0.2325788873628653,0.0020631206629519072,0.9320131497262217,0,home_6,Germany,day4
lag79,0.23172469444273247,0.002055543435785437,0.9340686931620071,0,home_6,Germany,day4
lag71,0.22942318742245787,0.0020351276244308615,0.936103820786438,0,home_6,Germany,day4
lag90,0.22463302167300297,0.001992635848635038,0.938096456635073,0,home_6,Germany,day4
