feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,131.7268838627727,0.17587340466813514,0.17587340466813514,1,home_7,Germany,day4
lag3,112.78253543787787,0.15058010872881417,0.3264535133969493,1,home_7,Germany,day4
lag96,57.882590810417334,0.07728117464196371,0.403734688038913,1,home_7,Germany,day4
hour_cos,54.923773551836305,0.07333074895968925,0.47706543699860227,1,home_7,Germany,day4
hour,27.87436607128375,0.03721609074902043,0.5142815277476227,1,home_7,Germany,day4
sin_2880.0_2,26.080510312917433,0.034821047987391836,0.5491025757350145,1,home_7,Germany,day4
lag2,21.98281023602044,0.029350057991275918,0.5784526337262904,1,home_7,Germany,day4
lag7,21.179332667084555,0.028277305554723624,0.606729939281014,1,home_7,Germany,day4
rolling_mean_lag4_window_size4,19.979564147801693,0.026675450503481826,0.6334053897844959,1,home_7,Germany,day4
lag95,19.77751751143892,0.026405690612434193,0.65981108039693,1,home_7,Germany,day4
cos_2880.0_2,15.919090519874771,0.021254162907757394,0.6810652433046874,1,home_7,Germany,day4
lag4,11.701530562759036,0.015623143579746356,0.6966883868844338,1,home_7,Germany,day4
lag5,11.378167654524395,0.015191409874773408,0.7118797967592072,1,home_7,Germany,day4
lag94,9.252196375199128,0.012352947473194698,0.7242327442324019,1,home_7,Germany,day4
lag6,8.782959686348477,0.011726452321686075,0.735959196554088,1,home_7,Germany,day4
hour_sin,6.821265213117431,0.009107321922418268,0.7450665184765063,1,home_7,Germany,day4
lag10,6.7092215855557695,0.008957728356755802,0.7540242468332621,1,home_7,Germany,day4
lag86,6.292091962791074,0.008400803264532507,0.7624250500977946,1,home_7,Germany,day4
direct_radiation_window_8_mean,5.926718458394044,0.007912979668395699,0.7703380297661903,1,home_7,Germany,day4
lag93,5.864959239711334,0.007830522665384169,0.7781685524315745,1,home_7,Germany,day4
lag65,5.116435313898956,0.006831140857754649,0.7849996932893291,1,home_7,Germany,day4
direct_radiation_window_8_std,4.816507082168755,0.006430695650795713,0.7914303889401247,1,home_7,Germany,day4
lag9,4.3085857054797545,0.005752551150580549,0.7971829400907053,1,home_7,Germany,day4
lag92,4.029620156049305,0.005380093991307264,0.8025630340820126,1,home_7,Germany,day4
sin_96.0_2,4.0111645223174035,0.005355453196318757,0.8079184872783314,1,home_7,Germany,day4
rolling_std_lag4_window_size4,3.9765247564438595,0.005309204371610857,0.8132276916499422,1,home_7,Germany,day4
lag89,3.9224529107674697,0.005237011062872881,0.8184647027128151,1,home_7,Germany,day4
lag87,3.826531695295125,0.005108943122219237,0.8235736458350343,1,home_7,Germany,day4
lag85,3.417161016839691,0.004562377281746875,0.8281360231167813,1,home_7,Germany,day4
lag8,3.065884756511468,0.004093375434353486,0.8322293985511348,1,home_7,Germany,day4
lag66,3.0504228724879794,0.004072731704645072,0.8363021302557798,1,home_7,Germany,day4
