feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,9.938668435169927,0.28275381832076724,0.28275381832076724,1,home_22,Portugal,day1
rolling_mean_lag4_window_size4,3.3731917937809497,0.09596686576691642,0.37872068408768367,1,home_22,Portugal,day1
lag5,3.2546790307230467,0.09259519314367194,0.4713158772313556,1,home_22,Portugal,day1
lag6,2.93924048718779,0.08362100779762358,0.5549368850289792,1,home_22,Portugal,day1
lag2,1.7500913191648735,0.04978986935038405,0.6047267543793633,1,home_22,Portugal,day1
lag3,1.6883689476021417,0.04803387594452523,0.6527606303238885,1,home_22,Portugal,day1
lag8,1.2294476579951024,0.034977625221249906,0.6877382555451385,1,home_22,Portugal,day1
lag4,1.0699603153815858,0.030440231163689394,0.7181784867088279,1,home_22,Portugal,day1
lag7,0.9014363075178451,0.02564574516055743,0.7438242318693853,1,home_22,Portugal,day1
rolling_std_lag4_window_size4,0.5490450326445483,0.015620259436458605,0.7594444913058439,1,home_22,Portugal,day1
direct_radiation,0.5239726858752363,0.014906954447009672,0.7743514457528535,1,home_22,Portugal,day1
direct_radiation_window_16_mean,0.5105818559172264,0.014525987084449028,0.7888774328373026,1,home_22,Portugal,day1
wind_speed_10m_weighted_96_std,0.3503026925209184,0.009966065829083255,0.7988434986663858,1,home_22,Portugal,day1
direct_radiation_window_8_mean,0.3219366098830321,0.009159054484557236,0.808002553150943,1,home_22,Portugal,day1
day_of_week_sin,0.30811320775345763,0.008765780500238655,0.8167683336511817,1,home_22,Portugal,day1
lag11,0.28519088749766014,0.008113643484160868,0.8248819771353426,1,home_22,Portugal,day1
direct_radiation_window_4_mean,0.26471052668135686,0.0075309798950522365,0.8324129570303949,1,home_22,Portugal,day1
direct_radiation_Exp_weighted_96_SL.win,0.2605721493086605,0.0074132435995499756,0.8398262006299448,1,home_22,Portugal,day1
direct_radiation_window_4_std,0.25904118460703246,0.007369687853835812,0.8471958884837807,1,home_22,Portugal,day1
WorkingHour_flag,0.2178715731171806,0.006198417786475011,0.8533943062702557,1,home_22,Portugal,day1
lag10,0.21445136294570233,0.006101113254006374,0.8594954195242621,1,home_22,Portugal,day1
hour_cos,0.1883428778785671,0.005358330265373854,0.8648537497896359,1,home_22,Portugal,day1
lag66,0.18669201442184402,0.005311363415744093,0.87016511320538,1,home_22,Portugal,day1
sin_2880.0_2,0.17924434126731797,0.0050994780876658045,0.8752645912930458,1,home_22,Portugal,day1
temperature_2m,0.1769701507716377,0.0050347776652262255,0.880299368958272,1,home_22,Portugal,day1
direct_radiation_window_2_std,0.1639126413069178,0.004663293227145564,0.8849626621854175,1,home_22,Portugal,day1
lag83,0.15897492485247397,0.004522815839215135,0.8894854780246326,1,home_22,Portugal,day1
lag62,0.15119927819833948,0.004301599707928426,0.893787077732561,1,home_22,Portugal,day1
direct_radiation_window_2_mean,0.1469175937742051,0.004179786345538311,0.8979668640780993,1,home_22,Portugal,day1
lag9,0.14675513951447955,0.004175164543076593,0.9021420286211759,1,home_22,Portugal,day1
relative_humidity_2m_window_2_mean,0.14170831283430943,0.0040315829834813985,0.9061736116046573,0,home_22,Portugal,day1
lag63,0.11142477033174884,0.0031700201563548648,0.9093436317610121,0,home_22,Portugal,day1
lag14,0.11026927220691647,0.003137146385689302,0.9124807781467014,0,home_22,Portugal,day1
direct_radiation_window_8_std,0.10316353223750951,0.002934989012048136,0.9154157671587495,0,home_22,Portugal,day1
temperature_2m_window_2_mean,0.09614038396004929,0.002735181361250814,0.9181509485200003,0,home_22,Portugal,day1
lag72,0.09608112562901142,0.002733495469475918,0.9208844439894762,0,home_22,Portugal,day1
lag25,0.09511440755736231,0.0027059924666560237,0.9235904364561323,0,home_22,Portugal,day1
lag90,0.09360867680022125,0.0026631546233652614,0.9262535910794976,0,home_22,Portugal,day1
lag88,0.09339122713479213,0.002656968208797382,0.9289105592882949,0,home_22,Portugal,day1
lag94,0.09146858136220999,0.0026022691877945164,0.9315128284760894,0,home_22,Portugal,day1
lag30,0.08403832421819998,0.0023908793429397042,0.9339037078190291,0,home_22,Portugal,day1
lag13,0.08378983413126093,0.002383809832435838,0.9362875176514649,0,home_22,Portugal,day1
lag65,0.08339416175042089,0.0023725530049024143,0.9386600706563674,0,home_22,Portugal,day1
lag56,0.08086254795735925,0.0023005289232891656,0.9409605995796565,0,home_22,Portugal,day1
lag61,0.07289715818725,0.002073914625146211,0.9430345142048027,0,home_22,Portugal,day1
day_of_week,0.06944875699370386,0.0019758080617833904,0.9450103222665861,0,home_22,Portugal,day1
lag45,0.06879856221193278,0.001957310105201255,0.9469676323717874,0,home_22,Portugal,day1
temperature_2m_weighted_96_mean,0.06691055648579294,0.0019035965889933485,0.9488712289607807,0,home_22,Portugal,day1
lag82,0.06597564601946004,0.0018769985083884834,0.9507482274691692,0,home_22,Portugal,day1
lag69,0.06405447012588325,0.0018223413052512543,0.9525705687744205,0,home_22,Portugal,day1
temperature_2m_window_4_mean,0.061289010155401516,0.0017436643304464723,0.954314233104867,0,home_22,Portugal,day1
lag12,0.060693579796112826,0.0017267244145280371,0.956040957519395,0,home_22,Portugal,day1
lag79,0.0586106710146808,0.0016674659318645403,0.9577084234512595,0,home_22,Portugal,day1
lag84,0.0540558034319929,0.0015378805443097066,0.9592463039955692,0,home_22,Portugal,day1
lag15,0.053667815390474514,0.0015268423352258914,0.9607731463307951,0,home_22,Portugal,day1
hour,0.05184328763475179,0.001474934758981851,0.962248081089777,0,home_22,Portugal,day1
wind_speed_10m_window_2_mean,0.051769271011067985,0.0014728289957096055,0.9637209100854865,0,home_22,Portugal,day1
lag73,0.049831154937919564,0.0014176898466770926,0.9651385999321637,0,home_22,Portugal,day1
lag77,0.04946164023513546,0.0014071772016664048,0.96654577713383,0,home_22,Portugal,day1
cos_672.0_1,0.048367818400818406,0.0013760581134069235,0.967921835247237,0,home_22,Portugal,day1
lag87,0.04823588746032357,0.0013723046953889166,0.9692941399426259,0,home_22,Portugal,day1
lag24,0.04813777979751279,0.0013695135452014215,0.9706636534878273,0,home_22,Portugal,day1
cos_672.0_2,0.04304946302619754,0.0012247515979345504,0.9718884050857619,0,home_22,Portugal,day1
