feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,90.44972594738954,0.6405408407969089,0.6405408407969089,1,home_9,Ireland,day1
sin_2880.0_2,9.280450284610675,0.0657216742893846,0.7062625150862935,1,home_9,Ireland,day1
hour_sin,5.431361256181799,0.038463452147218496,0.7447259672335119,1,home_9,Ireland,day1
hour,3.2037209890481337,0.022687897774253254,0.7674138650077652,1,home_9,Ireland,day1
direct_radiation_window_16_mean,2.6951708850606337,0.019086481542378977,0.7865003465501442,1,home_9,Ireland,day1
lag2,2.2232733306077535,0.01574462889292961,0.8022449754430738,1,home_9,Ireland,day1
direct_radiation_window_8_std,2.1258518878591532,0.015054716212750424,0.8172996916558243,1,home_9,Ireland,day1
lag6,1.9096908600234883,0.013523921452820286,0.8308236131086446,1,home_9,Ireland,day1
relative_humidity_2m_window_2_std,1.802705446303071,0.012766279280445533,0.8435898923890901,1,home_9,Ireland,day1
direct_radiation_window_16_std,1.465314167541419,0.010376964209427676,0.8539668565985178,1,home_9,Ireland,day1
rolling_mean_lag4_window_size4,1.3934072463126541,0.009867738567220858,0.8638345951657387,1,home_9,Ireland,day1
lag3,1.0709733072657854,0.007584347387697873,0.8714189425534365,1,home_9,Ireland,day1
lag34,0.8599733596826127,0.0060901020219170845,0.8775090445753536,1,home_9,Ireland,day1
lag5,0.8562023732333728,0.0060633969014147315,0.8835724414767684,1,home_9,Ireland,day1
lag13,0.8273974007482365,0.005859407767102783,0.8894318492438712,1,home_9,Ireland,day1
temperature_2m_weighted_96_std,0.709307902508067,0.005023129429056293,0.8944549786729274,1,home_9,Ireland,day1
wind_speed_10m_window_16_std,0.6883369180254931,0.004874618508850521,0.899329597181778,1,home_9,Ireland,day1
direct_radiation_window_8_mean,0.6073428363295307,0.00430104001930063,0.9036306372010786,1,home_9,Ireland,day1
lag33,0.5988370271800931,0.00424080414697297,0.9078714413480515,0,home_9,Ireland,day1
lag21,0.5502245875171866,0.00389654381175671,0.9117679851598083,0,home_9,Ireland,day1
precipitation_Exp_weighted_96_SL.win,0.5446148286827792,0.0038568169955301,0.9156248021553384,0,home_9,Ireland,day1
sin_96.0_1,0.520385890155876,0.0036852341135137825,0.9193100362688521,0,home_9,Ireland,day1
lag89,0.4858263143432168,0.003440492412897672,0.9227505286817498,0,home_9,Ireland,day1
lag70,0.4830568495579882,0.0034208798017647253,0.9261714084835145,0,home_9,Ireland,day1
relative_humidity_2m_window_4_std,0.46453513650212697,0.003289713968706247,0.9294611224522208,0,home_9,Ireland,day1
lag88,0.4274642586000482,0.0030271878963299887,0.9324883103485507,0,home_9,Ireland,day1
lag19,0.425733963961261,0.0030149344110800744,0.9355032447596308,0,home_9,Ireland,day1
lag71,0.42316849175049354,0.0029967664209649696,0.9385000111805958,0,home_9,Ireland,day1
lag81,0.4102809738985343,0.0029055004559859197,0.9414055116365817,0,home_9,Ireland,day1
lag87,0.40774790593718535,0.0028875619441246243,0.9442930735807064,0,home_9,Ireland,day1
lag35,0.3924713066456434,0.0027793771414375114,0.9470724507221439,0,home_9,Ireland,day1
lag91,0.3871372184205029,0.002741602550958335,0.9498140532731022,0,home_9,Ireland,day1
lag45,0.38008811135180165,0.0026916826543377566,0.9525057359274399,0,home_9,Ireland,day1
lag17,0.3605872458222166,0.0025535827245507566,0.9550593186519907,0,home_9,Ireland,day1
lag43,0.3371892844377271,0.002387884601077481,0.9574472032530682,0,home_9,Ireland,day1
precipitation_window_2_mean,0.32836612386199704,0.0023254013305703757,0.9597726045836386,0,home_9,Ireland,day1
lag56,0.31865698113358576,0.0022566437707045657,0.9620292483543431,0,home_9,Ireland,day1
lag23,0.2915468820164051,0.0020646572776475617,0.9640939056319907,0,home_9,Ireland,day1
lag74,0.28977768770544116,0.0020521283152918645,0.9661460339472826,0,home_9,Ireland,day1
temperature_2m_window_8_std,0.28277355990808245,0.00200252694987724,0.9681485608971598,0,home_9,Ireland,day1
lag95,0.2825432385964405,0.002000895875763224,0.9701494567729231,0,home_9,Ireland,day1
lag18,0.24669412997293422,0.0017470220476338075,0.9718964788205569,0,home_9,Ireland,day1
precipitation_weighted_96_mean,0.22157078256686874,0.0015691052004288273,0.9734655840209857,0,home_9,Ireland,day1
