feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,23.252908057347963,0.3415263593835594,0.3415263593835594,1,home_23,Germany,day4
lag2,7.61958347195357,0.11191239378651034,0.45343875317006976,1,home_23,Germany,day4
cos_2880.0_2,3.1869895963599673,0.046808809958466674,0.5002475631285365,1,home_23,Germany,day4
relative_humidity_2m_window_8_mean,1.7698491164577717,0.025994603509861842,0.5262421666383983,1,home_23,Germany,day4
lag3,1.7467816773380946,0.025655801219696003,0.5518979678580943,1,home_23,Germany,day4
lag5,1.7115419643379255,0.025138219037846448,0.5770361868959407,1,home_23,Germany,day4
relative_humidity_2m_window_16_std,1.4431430549274864,0.02119611845552816,0.5982323053514689,1,home_23,Germany,day4
direct_radiation,1.3768513046665247,0.020222460448196214,0.6184547657996651,1,home_23,Germany,day4
cos_96.0_1,1.365440599718704,0.020054866076377513,0.6385096318760426,1,home_23,Germany,day4
relative_humidity_2m,1.2958166671192886,0.019032266745231462,0.6575418986212741,1,home_23,Germany,day4
lag4,1.0570928151122871,0.015526017639833781,0.6730679162611078,1,home_23,Germany,day4
cos_672.0_1,0.9342014928748312,0.013721055190402542,0.6867889714515104,1,home_23,Germany,day4
cos_2880.0_1,0.9094953852767276,0.013358185008242575,0.700147156459753,1,home_23,Germany,day4
relative_humidity_2m_window_4_mean,0.8439724862191952,0.0123958194788995,0.7125429759386525,1,home_23,Germany,day4
relative_humidity_2m_window_16_mean,0.8226937757089672,0.01208328908420599,0.7246262650228584,1,home_23,Germany,day4
lag46,0.8028741684846864,0.01179218922336163,0.7364184542462201,1,home_23,Germany,day4
wind_speed_10m_window_8_mean,0.709835137871346,0.010425681372920591,0.7468441356191406,1,home_23,Germany,day4
hour_sin,0.6334209346431863,0.009303350154418999,0.7561474857735596,1,home_23,Germany,day4
cos_96.0_2,0.6182029991829495,0.00907983720359794,0.7652273229771576,1,home_23,Germany,day4
temperature_2m_window_4_mean,0.5830433342844117,0.008563430725735958,0.7737907537028935,1,home_23,Germany,day4
temperature_2m_window_8_mean,0.5590471254377007,0.008210987159270515,0.782001740862164,1,home_23,Germany,day4
lag6,0.5221342816507786,0.007668830921351799,0.7896705717835159,1,home_23,Germany,day4
lag81,0.5107746423653907,0.007501986574851964,0.7971725583583679,1,home_23,Germany,day4
lag47,0.4851956362511828,0.007126295723054411,0.8042988540814223,1,home_23,Germany,day4
relative_humidity_2m_window_2_mean,0.4706911022136865,0.006913260833303679,0.811212114914726,1,home_23,Germany,day4
lag16,0.4601827749765562,0.006758920105870487,0.8179710350205965,1,home_23,Germany,day4
lag43,0.4557650217133187,0.0066940344930719806,0.8246650695136685,1,home_23,Germany,day4
wind_speed_10m_window_16_mean,0.42624972103258185,0.006260529438016393,0.8309255989516848,1,home_23,Germany,day4
lag80,0.3636754682425135,0.005341472058447674,0.8362670710101325,1,home_23,Germany,day4
temperature_2m_Exp_weighted_96_SL.win,0.3456833098485049,0.005077212795107219,0.8413442838052397,1,home_23,Germany,day4
sin_4.0_1,0.33525201774994,0.004924003518860862,0.8462682873241006,1,home_23,Germany,day4
temperature_2m_window_8_std,0.3257913772049051,0.0047850506569300615,0.8510533379810307,1,home_23,Germany,day4
lag15,0.32523101068379673,0.004776820291188169,0.8558301582722189,1,home_23,Germany,day4
lag12,0.3184827362570104,0.004677705221734599,0.8605078634939535,1,home_23,Germany,day4
lag14,0.298943725214167,0.004390726608523734,0.8648985901024772,1,home_23,Germany,day4
sin_2880.0_1,0.29710442505179346,0.004363711944950482,0.8692623020474276,1,home_23,Germany,day4
