feature,importance,normalized_importance,cumulative_importance,selected,household,country,day
lag1,15.076168553357487,0.49277734715706567,0.49277734715706567,1,home_10,Portugal,day5
lag2,2.681269251847806,0.08763955803910957,0.5804169051961753,1,home_10,Portugal,day5
lag4,2.5357495764975395,0.08288312411331003,0.6633000293094853,1,home_10,Portugal,day5
rolling_mean_lag4_window_size4,1.0182506351471972,0.033282385040533914,0.6965824143500192,1,home_10,Portugal,day5
lag3,0.9874468074383345,0.032275535823709775,0.728857950173729,1,home_10,Portugal,day5
lag5,0.8359760163647678,0.027324584636553434,0.7561825348102824,1,home_10,Portugal,day5
lag13,0.4224526246768022,0.013808222092436956,0.7699907569027193,1,home_10,Portugal,day5
lag8,0.4043794033559749,0.013217483535386503,0.7832082404381059,1,home_10,Portugal,day5
direct_radiation_window_8_mean,0.3469231781465936,0.011339478116693273,0.7945477185547991,1,home_10,Portugal,day5
lag9,0.34467883373670816,0.011266119817434682,0.8058138383722337,1,home_10,Portugal,day5
direct_radiation_window_16_mean,0.3084816637681058,0.010082984637657928,0.8158968230098916,1,home_10,Portugal,day5
lag34,0.29381662923863416,0.00960364555453323,0.8255004685644248,1,home_10,Portugal,day5
direct_radiation_window_16_std,0.26598169141796574,0.008693837020023564,0.8341943055844484,1,home_10,Portugal,day5
hour_sin,0.25684087683991946,0.008395061748131214,0.8425893673325796,1,home_10,Portugal,day5
sin_2880.0_2,0.20706306134504474,0.0067680316588864566,0.8493573989914661,1,home_10,Portugal,day5
lag10,0.18836010805741807,0.006156709778764157,0.8555141087702303,1,home_10,Portugal,day5
lag26,0.17220891937597288,0.00562879448757412,0.8611429032578044,1,home_10,Portugal,day5
lag48,0.16453282056413912,0.005377894691938143,0.8665207979497426,1,home_10,Portugal,day5
lag12,0.15988836352799468,0.005226086677245542,0.8717468846269881,1,home_10,Portugal,day5
sin_672.0_1,0.15799799156370967,0.005164298267385067,0.8769111828943732,1,home_10,Portugal,day5
lag15,0.14974514006059395,0.004894546821200759,0.8818057297155739,1,home_10,Portugal,day5
lag11,0.13288270924904566,0.004343383978166359,0.8861491136937403,1,home_10,Portugal,day5
sin_4.0_2,0.12509794251318454,0.004088932279330722,0.890238045973071,1,home_10,Portugal,day5
lag14,0.12219216394715318,0.003993954444071915,0.8942320004171429,1,home_10,Portugal,day5
lag31,0.11866550436731131,0.003878682586641434,0.8981106830037844,1,home_10,Portugal,day5
lag20,0.1134558268329215,0.003708399860904154,0.9018190828646885,1,home_10,Portugal,day5
lag40,0.11272247031464815,0.003684429481539126,0.9055035123462276,0,home_10,Portugal,day5
relative_humidity_2m_weighted_96_mean,0.11138527728232077,0.0036407221939232385,0.9091442345401508,0,home_10,Portugal,day5
lag79,0.11124993028878691,0.0036362982627245887,0.9127805328028754,0,home_10,Portugal,day5
