iter	RMSE
0	727.9940369
1	695.8032111
2	666.097509
3	638.5195328
4	612.7405966
5	588.6506183
6	566.267146
7	545.9510158
8	526.9384737
9	509.5196704
10	493.1449619
11	478.2216411
12	464.5058223
13	451.9536575
14	440.3147394
15	429.8898002
16	420.2289889
17	411.5915037
18	403.6543152
19	396.3532017
20	389.3732591
21	383.2538172
22	377.6347852
23	372.4765223
24	367.7720266
25	363.682799
26	359.5253762
27	355.825604
28	352.7710459
29	349.8655777
30	347.2359629
31	344.8401045
32	342.4572853
33	340.5130989
34	338.1814338
35	336.4403261
36	334.8096416
37	333.2857796
38	331.8106773
39	330.4874483
40	329.4857868
41	327.7177718
42	326.600365
43	325.4111293
44	324.1087242
45	323.0781699
46	322.3919085
47	321.6009131
48	320.9281235
49	319.9607655
50	319.2570348
51	318.6573699
52	317.9745127
53	317.1114054
54	316.5345542
55	315.9533255
56	315.4224066
57	314.7999857
58	314.2606433
59	311.5543926
60	310.984047
61	310.5584867
62	309.9613879
63	309.2914759
64	308.8150521
65	308.4286758
66	307.8590486
67	307.241137
68	304.6010607
69	303.8089337
70	303.4709927
71	303.0832004
72	300.780767
73	300.4992874
74	299.5820215
75	299.2457184
76	298.8372168
77	298.3879297
78	297.9580898
79	296.7545772
80	296.4117971
81	295.858061
82	295.412194
83	294.7000183
84	294.3115867
85	294.0255618
86	292.6626494
87	292.1342608
88	290.9009528
89	290.6144386
90	290.0707211
91	289.823456
92	288.3960186
93	287.3625725
94	287.1050911
95	285.6380455
96	285.3161717
97	285.1318341
98	284.8518859
99	283.9307018
100	283.7833271
101	283.5189725
102	282.4251702
103	282.2268179
104	281.9116223
105	281.6452769
106	280.5225744
107	280.1885578
108	279.9887041
109	279.7111328
110	279.5267595
111	279.0757309
112	278.7796635
113	278.6063044
114	278.1983008
115	278.0406111
116	277.3893941
117	277.1845718
118	276.2781993
119	275.6540214
120	275.349489
121	275.0063706
122	274.5971962
123	274.3486719
124	274.135795
125	273.9475987
126	273.8032451
127	273.6849459
128	273.4881628
129	273.0608445
130	272.6093266
131	272.2294119
132	271.9189346
133	271.7237682
134	271.3904621
135	271.174534
136	271.0074801
137	270.8355575
138	270.6173247
139	270.1588249
140	270.0048665
141	269.6923455
142	269.3337315
143	268.9378188
144	268.7388577
145	268.5510215
146	268.24932
147	268.1058451
148	267.423176
149	267.3379535
150	267.1657442
151	266.8645099
152	266.5511717
153	266.1336728
154	265.8115699
155	265.5064197
156	264.9158708
157	264.7814661
158	264.3129898
159	264.2397608
160	264.0721507
161	263.7260147
162	263.6181611
163	263.5010848
164	263.1984985
165	263.1321918
166	263.0057623
167	262.8820439
168	262.6803404
169	262.4900293
170	262.3283787
171	262.2589258
172	262.1096729
173	262.0417743
174	261.9120066
175	261.5518239
176	261.2565195
177	260.9252618
178	260.5942672
179	260.1834475
180	259.8907642
181	259.6889463
182	259.4087344
183	259.1830188
184	258.8943396
185	258.5377336
186	258.4158358
187	258.3158634
188	258.1121534
189	257.9187571
190	257.6684668
191	257.2262148
192	256.7688159
193	256.6954731
194	256.4479185
195	256.4189583
196	256.269813
197	256.117191
198	255.891359
199	255.7093038
200	255.4925627
201	255.310542
202	255.1773361
203	254.8563891
204	254.784945
205	254.6558325
206	254.3496495
207	254.1196614
208	253.8924191
209	253.7143529
210	253.4790712
211	253.233385
212	253.0761444
213	252.6584927
214	252.2781319
215	251.8812166
216	251.7702672
217	251.3889478
218	251.3203583
219	251.096649
220	250.8105619
221	250.5639376
222	250.2402799
223	250.1195761
224	250.017294
225	249.8900456
226	249.7030795
227	249.5093014
228	249.3965275
229	248.9923024
230	248.7882961
231	248.6078993
232	248.5416066
233	248.4786267
234	248.3639724
235	248.0162379
236	247.9489195
237	247.7562021
238	247.6495711
239	247.4993305
240	247.1933932
241	247.1064642
242	246.875561
243	246.6074306
244	246.3038553
245	246.1063062
246	245.9852992
247	245.839946
248	245.7537133
249	245.6760014
250	245.2732221
251	245.1952078
252	245.0222739
253	244.9042369
254	244.7410433
255	244.5260564
256	244.4373463
257	244.2952925
258	244.1643874
259	243.9917396
260	243.9102326
261	243.6123971
262	243.4604691
263	243.3568535
264	243.1748741
265	243.0805924
266	242.7672187
267	242.5426439
268	242.3585738
269	242.3060961
270	242.2601987
271	242.0442172
272	241.9753815
273	241.8694231
274	241.7152451
275	241.5593801
276	241.4724052
277	241.2984739
278	240.8123767
279	240.7574449
280	240.631767
281	240.4810505
282	240.1497111
283	240.0837063
284	239.9624002
285	239.4122729
286	239.3722248
287	238.9776594
288	238.6572256
289	238.3180648
290	238.082749
291	238.0167736
292	237.7503169
293	237.594306
294	237.5207865
295	237.4887513
296	237.3992973
297	237.1595397
298	237.1124418
299	236.5484037
300	236.4279886
301	236.3546803
302	236.2145753
303	236.1664109
304	236.0990792
305	235.9198228
306	235.6814629
307	235.6222423
308	235.5524514
309	235.4086666
310	235.2440346
311	235.0166248
312	234.7261558
313	234.2757436
314	234.0961341
315	234.0695169
316	234.0354111
317	233.9270492
318	233.7594835
319	233.7174303
320	233.6339149
321	233.4771622
322	233.3577119
323	233.3143735
324	233.2260939
325	232.9799456
326	232.9557382
327	232.8394912
328	232.5124486
329	232.2207751
330	232.1326472
331	232.0337034
332	231.8036459
333	231.6974019
334	231.6391206
335	231.5795609
336	231.356641
337	231.0551295
338	230.8919426
339	230.7675934
340	230.6398498
341	230.5111694
342	230.4538999
343	230.2081633
344	230.1097227
345	229.8740134
346	229.6636908
347	229.4276836
348	229.3127244
349	229.1240059
350	229.0499336
351	228.8624379
352	228.8242784
353	228.618017
354	228.5802405
355	228.4809798
356	228.4473036
357	228.2645174
358	228.1587235
359	227.9816309
360	227.9544103
361	227.6202298
362	227.5314954
363	227.4999361
364	227.4324501
365	227.1510357
366	226.7557167
367	226.6584443
368	226.5965065
369	226.3100278
370	226.1902197
371	226.1348126
372	225.8788778
373	225.8044105
374	225.5653277
375	225.5056592
376	225.4480208
377	225.3632554
378	225.300239
379	225.0906536
380	224.8889476
381	224.6607434
382	224.6220167
383	224.5200911
384	224.3122737
385	224.1855976
386	223.9635474
387	223.7512028
388	223.7389554
389	223.6736964
390	223.5784984
391	223.4263922
392	223.381769
393	223.1644595
394	223.1181249
395	222.9225802
396	222.9143907
397	222.9033666
398	222.6644502
399	222.6064766
400	222.391625
401	222.3594844
402	222.2695392
403	222.0729592
404	221.848148
405	221.8194059
406	221.7346518
407	221.6122303
408	221.5694722
409	221.524405
410	221.3430814
411	221.3354902
412	221.2530208
413	221.1761461
414	220.9963082
415	220.9021584
416	220.8440644
417	220.4920062
418	220.4571448
419	220.4399055
420	220.4166949
421	220.2308866
422	220.2163401
