iter	Passed	Remaining
323	15868	20863
324	15879	20765
325	15888	20665
326	15898	20565
327	15908	20467
328	15917	20368
329	15928	20272
330	15937	20175
331	15947	20078
332	15956	19982
333	15965	19885
334	15976	19791
335	15984	19695
336	15995	19602
337	16005	19509
338	16016	19417
339	16027	19326
340	16038	19236
341	16048	19145
342	16059	19055
343	16069	18965
344	16080	18877
345	16090	18787
346	16101	18699
347	16112	18612
348	16122	18525
349	16133	18438
350	16144	18352
351	16156	18267
352	16166	18181
353	16177	18096
354	16188	18012
355	16197	17926
356	16207	17842
357	16218	17758
358	16229	17675
359	16240	17593
360	16325	17591
361	16409	17587
362	16492	17583
363	16576	17577
364	16585	17494
365	16595	17411
366	16678	17405
367	16688	17323
368	16700	17243
369	16713	17165
370	16723	17084
371	16735	17005
372	16745	16924
373	16755	16844
374	16763	16763
375	16775	16686
376	16787	16609
377	16797	16531
378	16880	16524
379	16964	16518
380	17048	16511
381	17066	16440
382	17084	16370
383	17101	16299
384	17113	16224
385	17127	16151
386	17140	16077
387	17164	16014
388	17249	16008
389	17260	15933
390	17345	15925
391	17429	15917
392	17444	15846
393	17528	15837
394	17538	15762
395	17547	15686
396	17586	15637
397	17624	15587
398	17708	15578
399	17792	15568
400	17875	15557
401	17959	15547
402	18042	15535
403	18126	15523
404	18210	15512
405	18250	15463
406	18335	15452
407	18420	15440
408	18438	15372
409	18522	15359
410	18606	15346
411	18617	15273
412	18641	15211
413	18666	15149
414	18749	15135
415	18813	15104
416	18896	15089
417	18982	15076
418	19065	15061
419	19149	15046
420	19163	14976
421	19247	14960
422	19285	14909
423	19370	14893
424	19387	14825
425	19404	14758
426	19488	14741
427	19572	14725
428	19656	14707
429	19666	14635
430	19676	14563
431	19759	14545
432	19773	14476
433	19857	14458
434	19941	14440
435	19959	14374
436	19973	14306
437	20057	14287
438	20140	14268
439	20224	14249
440	20309	14230
441	20393	14211
442	20479	14192
443	20563	14172
444	20647	14151
445	20730	14130
446	20741	14059
447	20752	13989
448	20762	13918
449	20773	13848
450	20857	13827
451	20939	13805
452	21021	13781
453	21103	13759
454	21186	13736
455	21200	13668
456	21214	13601
457	21227	13533
458	21241	13467
459	21323	13443
460	21333	13374
461	21343	13305
462	21353	13236
463	21362	13167
464	21371	13098
465	21380	13029
466	21390	12962
467	21400	12895
468	21409	12827
469	21420	12761
470	21431	12694
471	21441	12628
472	21451	12562
473	21461	12496
474	21469	12429
475	21479	12364
476	21489	12299
477	21499	12234
478	21508	12168
479	21518	12103
480	21527	12039
481	21537	11975
482	21547	11911
483	21558	11848
484	21568	11784
485	21577	11720
486	21588	11658
487	21625	11610
488	21635	11547
489	21645	11485
490	21656	11423
491	21665	11360
492	21674	11299
493	21685	11238
494	21697	11177
495	21707	11116
496	21718	11055
497	21729	10995
498	21742	10936
499	21825	10912
500	21908	10888
501	21918	10828
502	21927	10767
503	21938	10707
504	22020	10683
505	22031	10623
506	22041	10564
507	22123	10539
508	22206	10514
509	22216	10454
510	22226	10395
511	22240	10338
512	22255	10281
513	22268	10224
514	22281	10167
515	22298	10112
516	22310	10054
517	22320	9996
518	22333	9940
519	22342	9882
520	22354	9825
521	22364	9768
522	22375	9711
523	22387	9655
524	22470	9630
525	22554	9604
526	22638	9579
527	22722	9553
528	22739	9500
529	22757	9446
530	22771	9391
531	22785	9336
532	22803	9283
533	22826	9233
534	22851	9183
535	22874	9132
536	22956	9105
537	23039	9078
538	23121	9051
539	23204	9024
540	23287	8996
541	23298	8941
542	23381	8913
543	23464	8885
544	23545	8856
545	23629	8828
546	23638	8772
547	23721	8744
548	23804	8715
549	23887	8686
550	23899	8631
551	23981	8602
552	24064	8572
553	24076	8517
554	24157	8487
555	24240	8457
556	24322	8427
557	24339	8374
558	24356	8322
559	24368	8267
560	24452	8238
561	24534	8207
562	24618	8176
563	24702	8146
564	24786	8115
565	24850	8078
566	24932	8047
567	25015	8015
568	25038	7964
569	25121	7933
570	25138	7880
571	25156	7828
572	25174	7776
573	25256	7744
574	25274	7692
575	25290	7639
576	25373	7607
577	25384	7553
578	25395	7500
579	25478	7467
580	25561	7435
581	25643	7402
582	25660	7350
583	25742	7317
584	25753	7263
585	25837	7230
586	25920	7197
587	25944	7147
588	25956	7095
589	25969	7042
590	25981	6989
591	25994	6937
592	26005	6885
593	26017	6832
594	26040	6783
595	26054	6732
596	26137	6698
597	26222	6665
598	26305	6631
599	26323	6580
600	26348	6532
601	26372	6483
602	26386	6432
603	26400	6381
604	26414	6330
605	26438	6282
606	26451	6231
607	26469	6181
608	26480	6130
609	26563	6096
610	26578	6046
611	26592	5996
612	26676	5961
613	26690	5911
614	26708	5862
615	26790	5827
616	26876	5793
617	26963	5759
618	27048	5724
619	27131	5688
620	27215	5653
621	27298	5617
622	27312	5567
623	27324	5517
624	27408	5481
625	27492	5445
626	27576	5409
627	27587	5359
628	27600	5309
629	27685	5273
630	27769	5237
631	27853	5200
632	27936	5163
633	28020	5126
634	28103	5089
635	28187	5052
636	28271	5015
637	28282	4964
638	28292	4914
639	28302	4864
640	28385	4826
641	28469	4789
642	28553	4751
643	28637	4713
644	28720	4675
645	28744	4627
646	28828	4589
647	28911	4550
648	28995	4512
649	29081	4474
650	29166	4435
651	29250	4396
652	29334	4357
653	29418	4318
654	29501	4278
655	29585	4239
656	29668	4199
657	29732	4157
658	29745	4107
659	29829	4067
660	29841	4017
661	29852	3968
662	29865	3919
663	29949	3878
664	30013	3836
665	30077	3793
666	30141	3750
667	30225	3710
668	30310	3669
669	30393	3629
670	30478	3588
671	30561	3547
672	30576	3498
673	30587	3449
674	30601	3400
675	30615	3351
676	30629	3302
677	30644	3254
678	30728	3213
679	30811	3171
680	30825	3123
681	30909	3081
682	30934	3034
683	31019	2993
684	31102	2951
685	31188	2909
686	31254	2866
687	31339	2824
688	31423	2782
689	31507	2739
690	31532	2692
691	31616	2649
692	31700	2607
693	31783	2564
694	31808	2517
695	31832	2469
696	31857	2422
697	31921	2378
698	32005	2335
699	32069	2290
700	32086	2242
701	32100	2194
702	32118	2147
703	32202	2104
704	32287	2060
705	32371	2017
706	32455	1973
707	32539	1930
708	32623	1886
709	32708	1842
710	32793	1798
711	32876	1754
712	32889	1706
713	32901	1658
714	32914	1611
715	32923	1563
716	32933	1515
717	32943	1468
718	32952	1420
719	33036	1376
720	33049	1329
721	33133	1284
722	33152	1238
723	33169	1191
724	33183	1144
725	33267	1099
726	33352	1055
727	33378	1008
728	33403	962
729	33429	915
730	33514	871
731	33598	826
732	33682	781
733	33766	736
734	33804	689
735	33888	644
736	33951	598
737	34015	553
738	34079	507
739	34103	460
740	34121	414
741	34135	368
742	34149	321
743	34162	275
744	34180	229
745	34263	183
746	34288	137
747	34298	91
748	34322	45
749	34347	0
