timestamp,home_1,home_2,home_3,home_4,home_5,home_6,home_7,home_8,home_9,home_10,home_11,home_12,home_13,home_14,home_15,home_16,home_17,home_18,home_19,home_20
2020-01-24 22:45:00,950.7333333333332,590.4666666666667,22.4,133.33333333333334,593.0666666666667,1125.8,426.9333333333333,234.86666666666667,341.53333333333336,696.2,16.466666666666665,348.6,199.66666666666663,207.66666666666663,1060.1333333333334,139.73333333333332,261.8666666666667,1097.4,473.73333333333335,168.2
2020-01-24 23:00:00,1069.5333333333333,519.3333333333334,21.8,124.8,587.6666666666666,1038.1333333333334,439.9333333333333,198.46666666666667,269.8666666666667,686.7333333333333,15.8,312.53333333333336,153.26666666666668,146.6,1038.3333333333333,43.13333333333333,243.4,1167.8,1009.0666666666668,16.333333333333332
2020-01-24 23:15:00,1064.2666666666669,535.1333333333333,22.4,111.86666666666666,512.4,1090.3333333333333,419.6,175.06666666666666,309.06666666666666,636.9333333333333,15.733333333333333,374.2,173.26666666666668,492.4666666666666,894.2666666666667,118.66666666666669,306.8,1261.2666666666669,1179.6666666666667,3.466666666666667
2020-01-24 23:30:00,916.4,542.8666666666667,85.86666666666666,137.26666666666668,513.2666666666667,1147.2666666666669,381.3333333333333,243.86666666666667,324.7333333333333,792.0,95.13333333333334,393.6,122.4,1968.6,1062.1333333333334,88.73333333333333,306.0,1116.4666666666667,489.73333333333335,151.0
2020-01-24 23:45:00,843.2,491.0,93.2,120.33333333333331,316.4,1023.5333333333332,262.4,220.4,373.06666666666666,862.9333333333333,85.13333333333334,344.6,139.33333333333334,475.6666666666667,1016.8666666666668,70.13333333333334,376.2,1100.0,376.8666666666667,84.2
2020-01-25 00:00:00,832.9333333333333,295.2857142857143,89.86666666666666,100.06666666666666,201.06666666666663,440.73333333333335,351.8666666666667,191.4,273.6666666666667,866.2666666666667,17.333333333333332,331.46666666666664,119.86666666666666,560.9333333333333,659.6,113.0,513.9333333333333,2651.733333333333,306.46666666666664,5.8
2020-01-25 00:15:00,900.1333333333333,290.57142857142856,88.33333333333333,143.0,243.4,342.3333333333333,339.0,232.66666666666663,330.53333333333336,823.3333333333334,17.4,341.6,126.93333333333334,512.8,627.8,80.46666666666667,423.1333333333333,1442.6153846153843,236.06666666666663,85.26666666666667
2020-01-25 00:30:00,883.0666666666667,290.06666666666666,87.13333333333334,272.93333333333334,244.53333333333333,437.06666666666666,283.2,198.0,305.1333333333333,801.3333333333334,17.133333333333333,344.6,184.53333333333333,531.6666666666666,546.0666666666667,82.4,425.2,640.8666666666667,291.46666666666664,155.2
2020-01-25 00:45:00,783.4,287.6,27.8,161.73333333333332,242.6,459.8,266.46666666666664,207.66666666666663,316.8666666666667,803.2666666666667,17.0,474.8666666666667,172.13333333333333,493.6666666666667,823.0,82.53333333333333,224.53333333333333,1659.0,257.07142857142856,6.666666666666667
2020-01-25 01:00:00,2871.8,276.2,22.266666666666666,151.33333333333334,240.86666666666667,295.26666666666665,307.6,214.2,341.26666666666665,538.2,18.53333333333333,159.86666666666667,151.2,290.53333333333336,642.9333333333333,119.86666666666666,157.6,2009.9333333333332,1917.0666666666664,15.133333333333333
2020-01-25 01:15:00,3233.4,271.46666666666664,23.266666666666666,208.46666666666667,200.86666666666667,201.9333333333333,385.4666666666666,40.266666666666666,301.2,220.23076923076923,19.0,144.8,124.73333333333332,347.6666666666667,629.1333333333333,75.2,517.6,2857.133333333333,3215.0666666666666,174.8
